file_id,Title,table_name,column_name,rule_no,business_rule_definition,attribute_group,dimension,functionality,expected
1,,Customer,CUSTOMERID,CUSTM_1.4,Check duplicates for the record,Customer details,Duplicity,duplicity,null
1,,CustomersHierarchy,HIERARCHYID,CUSTM_2.4,Check duplicates for the record,Customer details,Duplicity,duplicity,null
1,,ProfitCenterTexts,PROFITCENTERID,PROFM_17.5,Check duplicates for the record,Profit details,Duplicity,duplicity,null
1,,ProfitCenterHierarchy,HIERARCHYID,CUSTM_2.4,Check duplicates for the record,Profit details,Duplicity,duplicity,null
1,,ProfitCenter,PROFITCENTERID,PROFM_17.5,Check duplicates for the record,Profit details,Duplicity,duplicity,null
1,,ProductTexts,PRODUCTID,PRODM_16.3,Check duplicates for the record,Product details,Duplicity,duplicity,null
1,,ProductCategoryTexts,PRODCATEGORYID,PRODM_13.4,Check duplicates for the record,Product details,Duplicity,duplicity,null
1,,ProductCategories,PRODCATEGORYID,PRODM_13.4,Check duplicates for the record,Product details,Duplicity,duplicity,null
1,,Product,PRODUCTID,PRODM_12.20,Check duplicates for the record,Product details,Duplicity,duplicity,null
1,,GLAccountsTexts,ACCOUNTID,GLCOM_8.3,Check duplicates for the record,GL details,Duplicity,duplicity,null
1,,GLAccounts,ACCOUNTID,GLCOM_8.3,Check duplicates for the record,GL details,Duplicity,duplicity,null
1,,GLAccountsHierarchy,HIERARCHYID,CUSTM_2.4,Check duplicates for the record,GL details,Duplicity,duplicity,null
1,,GLAccounts,"ACCOUNTID,ACCOUNTTYPEID,LANGUAGE",CUSTM_1.23,Length should be less than given length,GL details,Completeness,length,
4,,Product,PRODUCTID,Product_PRODUCTID_special_character_,PRODUCTID should not contain special character,Product details,Conformity,special_character,
4,,CustomersHierarchy,HIERARCHYID,CustomersHierarchy_HIERARCHYID_duplicity_,Check duplicates for the HIERARCHYID,Customer details,Duplicity,duplicity,
4,,CustomersHierarchy,DESCRIPTION,CustomersHierarchy_DESCRIPTION_length_200,DESCRIPTION should be greater than 200,Customer details,Completeness,length,200
5,,ProductCategoryTexts,"PRODCATEGORYID,LANGUAGE,SHORT_DESCR","ProductCategoryTexts_PRODCATEGORYID,LANGUAGE,SHORT_DESCR_length_12","PRODCATEGORYID, LANGUAGE, SHORT_DESCR should be less than ",Product details,Completeness,length,12
7,,GLAccountsTexts,"LANGUAGE,MEDIUM_DESCR","GLAccountsTexts_LANGUAGE,MEDIUM_DESCR_length_25","LANGUAGE, MEDIUM_DESCR should be less than ",GL details,Completeness,length,25
